file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,error
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.1,False,0,5.836179494857788,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.25,False,0,4.839402914047241,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.5,True,9,11.402618885040283,53.55,183,98,85,
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.9,True,9,9.629168510437012,53.55,183,98,85,
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.1,False,0,4.890195369720459,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.25,False,0,5.17666220664978,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.5,True,15,15.368173599243164,53.55,183,98,85,
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.9,True,15,15.633607387542725,53.55,183,98,85,
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.1,False,0,5.753648281097412,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.25,False,0,5.286700487136841,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.5,True,9,11.645256996154785,53.14,175,93,82,
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.9,True,9,13.799654960632324,53.14,175,93,82,
umeh_tsugma khyug_high quality,umeh_tsugma khyug_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,False,0.1,False,0,4.731338262557983,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
